
* Step -1
RZ           1   15161
      49    7.5697096600E+001    2.1282407400E+001    5.4500000000E+001
      50    7.4503764800E+001   -7.2152000000E-003    5.4500000000E+001
      51    7.4900499500E+001    4.5279710000E+000    5.4500001900E+001
      52    7.4326503500E+001    2.0872841000E+000    5.2840328200E+001
      53    8.0893812900E+001    2.7766577100E+001    5.0518164700E+001
      54    7.8712843500E+001    2.9590918100E+001    5.0202618300E+001
      55    7.8487448500E+001    3.1646442800E+001    4.8332746400E+001
      56    8.1065568500E+001    2.9208058400E+001    4.7240806000E+001
      57    8.1163962600E+001    3.4065573300E+001    4.5363385000E+001
      58    7.8284670200E+001   -5.6459640000E+000    4.0497302100E+001
      59    7.7471976100E+001   -3.2318814000E+000    4.2797234100E+001
      60    7.5842177100E+001   -5.5307455000E+000    4.4872775300E+001
      61    7.5592504500E+001   -3.1581874000E+000    4.6205545200E+001
      62    7.5823330300E+001   -5.3726594000E+000    4.7889239100E+001
      63    7.3764962200E+001   -6.6026450000E-001    5.2539432800E+001
      64    7.3567193600E+001   -3.6979996000E+000    5.4066497300E+001
      65    8.0360272142E+001   -2.1905989129E+000    2.7724932684E+001
      66    7.8100785300E+001   -1.6501378000E+000    3.0368560200E+001
      67    7.8056035211E+001   -3.4451412200E+000    2.6479249670E+001
      68    7.5987434800E+001   -5.2194923462E+000    3.0188134308E+001
      69    7.8702461700E+001   -4.9805670000E-001    3.3586632300E+001
      70    7.6801138900E+001   -2.9379404000E+000    3.4391470600E+001
      71    7.8955263500E+001   -1.7134263000E+000    3.6695066100E+001
      72    8.1273109000E+001    1.2195696000E+000    3.7719305500E+001
      73    8.1110345935E+001    2.6621904000E+000    3.4613546367E+001
      74    8.0931770561E+001    3.7179878000E+000    3.1206131286E+001
      75    8.0440177200E+001    2.9747125000E+000    2.7559507800E+001
      76    7.8788201800E+001    1.4231169000E+000    3.1210474800E+001
      77    7.9331168500E+001   -1.6791527000E+000    3.8696798600E+001
      78    7.9277619800E+001   -1.0206786000E+000    4.0988496500E+001
      79    8.1382279900E+001    1.9431595000E+000    4.1197578800E+001
      80    7.7281145200E+001   -3.1031993000E+000    3.8732016200E+001
      81    7.5836641100E+001   -5.5242913623E+000    3.6004077339E+001
      82    7.7744123600E+001    9.8878500000E+000    5.2310542200E+001
      83    8.0962915700E+001    1.2734664700E+001    4.9199597800E+001
      84    7.8506590100E+001    1.0396756000E+001    5.0007658500E+001
      85    8.1075644400E+001    7.8517161000E+000    4.7048588500E+001
      86    8.1126483800E+001    1.1780396100E+001    4.6078506100E+001
      87    7.7623545400E+001    5.7393020000E+000    4.9832979600E+001
      88    8.1272661200E+001    5.0075016000E+000    4.3289253400E+001
      89    7.5884892000E+001    3.0469522100E+001    5.3412705200E+001
      90    7.5777235300E+001    2.6905499700E+001    5.4361344900E+001
      91    7.4191953200E+001    2.4282138700E+001    5.4500000000E+001
      92    7.8393265900E+001    2.6413076000E+001    4.9555844100E+001
      93    7.5865451700E+001    3.4507207100E+001    5.0660535600E+001
      94    7.5198923400E+001    3.1407659600E+001    5.0137595400E+001
