
* Step -1
RZ           1    3821
     130    4.1455534000E+001   -4.6360956600E+001    1.4403743900E+001
     131    3.7406129500E+001   -4.7985643194E+001    1.4406481706E+001
     132    4.3965645700E+001   -4.3712866100E+001    2.1090000200E+001
     133    4.6349009700E+001   -4.1753215600E+001    2.1052299700E+001
     134    4.7697590849E+001   -4.1326254500E+001    1.8120560025E+001
     135    3.0492600900E+001   -3.8726675900E+001   -1.7846373000E+000
     136    3.1102941600E+001   -3.6068753132E+001   -4.7552423915E+000
     137    3.8844035015E+001   -3.7027614811E+001   -5.2009277980E+000
     138    3.4326554100E+001   -3.9047743500E+001   -4.9444420000E-001
     139    4.0508572440E+001   -4.0320607100E+001   -1.4925284509E+000
     140    4.1652822708E+001   -4.2971247100E+001    1.6512724607E+000
     141    2.8652946400E+001   -4.0466701600E+001   -1.6151050000E-001
     142    2.6976034900E+001   -4.0979691200E+001    1.3590471000E+000
     143    2.5625821195E+001   -3.8660347700E+001    5.0678109085E-001
     144    3.6423026600E+001   -4.3150731000E+001    1.4100376000E+000
     145    4.1579709200E+001   -4.4216908600E+001    1.6326720200E+001
     146    4.2264374700E+001   -4.3608422300E+001    1.8703169200E+001
     147    4.0233546200E+001   -4.4007788100E+001    2.1090000200E+001
     148    3.8143120800E+001   -4.6290542100E+001    2.1090000200E+001
     149    3.4244563800E+001   -4.7703260300E+001    2.0636169400E+001
     150    3.6218752100E+001   -4.7216007400E+001    2.0915821900E+001
     151    3.9078764500E+001   -4.6021214700E+001    1.8701497400E+001
     152    3.8613483700E+001   -4.6443022800E+001    1.6251555200E+001
     153    3.6406360600E+001   -4.6249892300E+001    1.8876144500E+001
     154    4.3317980400E+001   -4.3722288600E+001    1.3017845000E+001
     155    4.4639099041E+001   -4.1012237600E+001    9.8560004850E+000
     156    4.5596441976E+001   -4.2019076000E+001    1.2486279000E+001
     157    4.1985114600E+001   -4.5865237000E+001    1.0642981400E+001
     158    4.0184446200E+001   -4.7601452349E+001    1.0751151343E+001
     159    3.9724305300E+001   -4.7193688866E+001    6.8715423934E+000
     160    4.1450564800E+001   -4.4968525400E+001    7.9961369000E+000
     161    4.2193548400E+001   -4.3517482100E+001    1.0275094000E+001
     162    3.9070710200E+001   -4.4122619000E+001    5.6681079000E+000
     163    4.1821624200E+001   -4.2091784600E+001    7.7896593000E+000
     164    4.2394372988E+001   -3.9294867900E+001    3.6886666679E+000
     165    4.3674788456E+001   -4.0242002900E+001    7.2065790796E+000
     166    2.5371062555E+001   -4.0473241900E+001    3.4186900961E+000
     167    2.7030597700E+001   -4.1817061500E+001    3.3917835000E+000
     168    3.1983305100E+001   -4.1558780000E+001    3.1648680000E+000
     169    2.5212281227E+001   -4.2613053300E+001    5.2335690198E+000
     170    3.2940176800E+001   -4.4242912600E+001    5.8357829000E+000
     171    3.6087170300E+001   -4.7332803137E+001    8.1951257754E+000
     172    3.3651953600E+001   -4.7724174369E+001    1.1918772930E+001
     173    3.1201135300E+001   -4.7370922532E+001    8.5578074654E+000
     174    2.7637012400E+001   -4.7247338143E+001    7.3819809852E+000
     175    2.5094652041E+001   -4.6142107056E+001    8.4533372077E+000
     176    2.8099942600E+001   -4.4701074700E+001    7.6943557000E+000
     177    2.5049430266E+001   -4.3687749000E+001    7.0949645320E+000
     178    2.8075781100E+001   -4.2115826000E+001    6.6187613000E+000
     179    3.5208298200E+001   -4.6069249700E+001    1.5978235200E+001
     180    3.3021407600E+001   -4.6416970600E+001    2.1090000200E+001
     181    3.3837292700E+001   -4.5415786900E+001    1.8896145800E+001
     182    3.1198441900E+001   -4.7906289400E+001    2.0454755500E+001
     183    4.4033139700E+001   -4.1737999800E+001    1.4661909200E+001
     184    4.6403318124E+001   -3.9817730200E+001    1.4703151327E+001
     185    4.5342533667E+001   -3.9095111300E+001    1.1788673476E+001
     186    4.4269600408E+001   -3.7243318900E+001    8.8408160428E+000
     187    3.1738410400E+001   -4.5482753700E+001    1.6478567400E+001
     188    2.9005041400E+001   -4.7711388686E+001    1.1797125328E+001
     189    2.9902472200E+001   -4.8276713639E+001    1.7175830970E+001
     190    2.5277489417E+001   -4.7188898491E+001    1.1867663101E+001
     191    4.7319881582E+001   -3.8702635900E+001    1.7221386697E+001
     192    4.2416307208E+001   -3.3581376689E+001    5.4146055918E+000
     193    3.5450205382E+001    4.4148933976E+001   -1.3359414872E+001
     194    2.7401101099E+001   -3.5010973286E+001   -7.0504120383E-001
     195    2.7763550000E+001   -3.7879840800E+001    3.3013289000E+000
     196    2.5451727722E+001   -3.6607059200E+001    2.4966753932E+000
     197    2.5169415804E+001   -3.7722106500E+001    5.7235186004E+000
     198    4.3722135900E+001   -4.1159844200E+001    1.7990723100E+001
     199    3.9209347700E+001   -4.4751722800E+001    1.3045083100E+001
     200    3.4668677100E+001   -4.1300477400E+001    6.6683325000E+000
     201    4.1748681900E+001   -4.0395855300E+001    1.1037257400E+001
     202    3.8541711200E+001   -4.3531252800E+001    9.1160751000E+000
     203    4.7954246600E+001   -3.8848572900E+001    1.9598615000E+001
     204    3.1657605700E+001   -3.4460105083E+001    1.2483159953E+000
     205    3.6390988600E+001   -3.4948736512E+001   -5.7528179666E-001
     206    4.0559737046E+001   -3.4885042875E+001    9.0478510484E-001
     207    3.7472553400E+001   -3.8215378600E+001    3.5502395000E+000
     208    3.9111590600E+001   -3.8436627000E+001    7.3821955000E+000
     209    3.8528888218E+001   -3.2845008223E+001    6.0337978720E+000
     210    4.0848919000E+001   -4.1123419800E+001    1.6078874200E+001
     211    3.6788196100E+001   -4.3728686300E+001    1.6750029200E+001
     212    3.8794425200E+001   -4.2317517300E+001    1.8404383900E+001
     213    4.2151594100E+001   -4.0692266200E+001    2.1090000200E+001
     214    3.5699049200E+001   -4.3361070600E+001    2.1090000200E+001
     215    2.5162730410E+001   -4.0301286000E+001    5.7999379009E+000
     216    2.4981319399E+001   -4.1768717900E+001    7.8734754174E+000
     217    2.4826585015E+001   -4.3455582600E+001    9.6420980363E+000
     218    2.7337739700E+001   -4.5094776600E+001    1.1089915600E+001
     219    2.7195194000E+001   -4.1311867000E+001    9.8706001000E+000
     220    3.1815836200E+001   -4.3369229800E+001    1.1800873400E+001
     221    3.2971160200E+001   -4.3010604800E+001    1.7334746300E+001
     222    3.1090613300E+001   -3.8291512400E+001    7.6857100000E+000
     223    2.6749358100E+001   -3.8833348200E+001    7.5706135000E+000
     224    3.1157090000E+001   -4.4573584700E+001    2.1090000200E+001
     225    2.9708609900E+001   -4.4989596900E+001    1.9122782200E+001
     226    2.8937531300E+001   -4.6916913700E+001    2.1024168100E+001
     227    4.4361906800E+001   -3.8065389500E+001    1.6424408800E+001
     228    4.6372353743E+001   -3.6238956200E+001    1.4618080585E+001
     229    4.5307576584E+001   -3.4981736900E+001    1.1692628988E+001
     230    4.2808839900E+001   -3.7023633000E+001    1.3651125100E+001
     231    4.0851990500E+001   -3.4474223500E+001    1.0064625700E+001
     232    2.9832348500E+001   -4.2648333300E+001    1.7008874600E+001
     233    2.5760442787E+001   -4.7900312227E+001    1.4554918410E+001
     234    2.4586190804E+001   -4.3540704700E+001    1.2389817135E+001
     235    2.7773721700E+001   -4.4608450700E+001    1.6063415100E+001
     236    2.5197577000E+001   -4.7584661200E+001    2.0484562700E+001
     237    4.7429851156E+001   -3.5936295800E+001    1.7523526498E+001
     238    4.4605035600E+001   -3.6979339200E+001    1.9645115600E+001
     239    3.5424886499E+001    3.9182757302E+001   -1.3444401298E+001
     240    3.1110132500E+001    4.0238017963E+001   -1.3989262325E+001
