
* Step 84
RZ           1    8771
      60    7.6393111876E+001   -1.3830922267E+001   -5.0368255882E+001
      61    6.6907908392E+001   -4.4208899169E+000   -5.3255053983E+001
      62    8.1256046109E+001   -1.4311031730E+001   -4.3286255403E+001
      63    8.1401926356E+001   -1.2035775781E+001   -4.0497555751E+001
      64    7.8869231258E+001   -1.5439165495E+001   -4.8089164941E+001
      65    8.1177243326E+001   -1.7697304938E+001   -4.4791645921E+001
      66    7.7430792874E+001   -1.3919096804E+001   -4.6299037719E+001
      67    7.8521602423E+001   -1.0408974651E+001   -4.1936932087E+001
      68    8.0952831045E+001   -1.8552810755E+001   -4.9090586878E+001
      69    6.3047389883E+001    7.7835418941E+000   -5.3178518996E+001
      70    6.2711248564E+001    3.7098668764E+000   -5.3468396833E+001
      71    6.1451966235E+001    7.4739751610E-001   -5.7500000000E+001
      72    5.9019024980E+001    5.2580368601E+000   -5.7499999352E+001
      73    8.0151925009E+001   -1.8672141707E+001   -5.3380229978E+001
      74    7.3649137396E+001   -1.6456414224E+001   -5.4496324639E+001
      75    7.6868361076E+001   -1.8320771946E+001   -5.0608504305E+001
      76    7.0802928361E+001   -1.1983478837E+001   -5.4497799051E+001
      77    6.8348416593E+001   -7.9437536569E+000   -5.7034460327E+001
      78    6.8290652275E+001   -9.5873955250E+000   -5.3290612629E+001
      79    8.1246706435E+001   -4.7842630470E+000   -3.7544751835E+001
      80    8.1092334734E+001   -2.3488973558E+000   -3.4608178547E+001
      81    7.6622828604E+001   -1.0514726714E+000   -3.7108950209E+001
      82    7.6457818740E+001    2.5121795834E+000   -3.8151627571E+001
      83    7.6870667940E+001    1.6935583116E-001   -3.2972235265E+001
      84    8.0904959166E+001   -3.4365554186E+000   -3.1044000484E+001
      85    7.9848993396E+001   -2.3564014463E+000   -2.6820921180E+001
      86    7.6965889346E+001   -1.8653350834E+000   -2.8828495056E+001
      87    7.3403342100E+001    5.6022934749E+000   -3.7492448495E+001
      88    7.3091552815E+001    5.3406107013E+000   -3.2499227115E+001
      89    7.3975875553E+001    5.8120660760E-001   -2.8856163552E+001
      90    7.3003311403E+001    2.1302158916E+000   -2.6003939233E+001
      91    7.6372449791E+001   -2.7923827701E-001   -2.6002838360E+001
      92    6.4508965496E+001    7.6144783379E+000   -4.8704656528E+001
      93    8.1246692370E+001   -9.5766296607E+000   -3.7544652139E+001
      94    8.1072817889E+001   -6.8936945982E+000   -3.4237142793E+001
      95    7.9121857237E+001   -1.3481166721E+001   -3.8483980343E+001
      96    8.1246698046E+001   -1.4368495229E+001   -3.7544833772E+001
      97    8.1098642143E+001   -2.1084468705E+001   -4.6298393843E+001
      98    8.1401861699E+001   -1.6842058207E+001   -4.0496509552E+001
      99    8.1401501494E+001   -2.1645713405E+001   -4.0501085848E+001
     100    7.8860902455E+001   -1.7029305670E+001   -3.8031269577E+001
     101    8.1232083976E+001   -1.9046382522E+001   -3.7267008128E+001
     102    8.0881979835E+001   -2.2862333566E+001   -5.0444569635E+001
     103    8.1249808705E+001   -2.3766452640E+001   -4.3403569651E+001
     104    8.1097952955E+001   -2.5888375494E+001   -4.6308986540E+001
     105    8.1401103735E+001   -2.6450860236E+001   -4.0506375780E+001
     106    8.1185177219E+001   -2.4389550276E+001   -3.6374898448E+001
     107    8.1212971705E+001   -2.8668070207E+001   -3.6903685003E+001
     108    8.0977596716E+001   -2.7642634605E+001   -3.2426479242E+001
     109    8.0910826408E+001   -2.3814650923E+001   -3.1156195064E+001
