
* Step -1
RZ           1   7529 
    1764   5.2309845902E+01   2.1321355261E+01   -2.2668569894E+01
    1765   3.8567519300E+01   4.4431370400E+01   4.9516572000E+00
    1766   -1.4331154627E+00   5.7812955632E+01   -5.0131523238E+01
    1767   -4.7108226631E+00   5.9361335826E+01   -4.8375013737E+01
    1768   -5.4903965000E+00   6.1915767300E+01   -4.8077999115E+01
    1769   3.2303674473E+01   5.3347404969E+01   -3.1460182868E+01
    1770   3.3161717694E+01   5.2052731212E+01   -3.9140962304E+01
    1771   3.4338838149E+01   -2.3920648301E+00   -3.6315595963E+01
    1772   -5.4727807000E+00   6.7172812600E+01   -4.4235568400E+01
    1773   -3.0680227000E+00   6.5819143900E+01   -4.2074343700E+01
    1774   -3.1699618948E-01   6.3239028900E+01   -4.1892486601E+01
    1775   3.6948603700E+01   5.2425465300E+01   -2.3022052400E+01
    1776   3.5018142900E+01   5.0926661100E+01   -2.8174295900E+01
    1777   3.4052929800E+01   5.4492388900E+01   -1.2535552300E+01
    1778   3.1905567300E+01   5.8190445600E+01   -5.2404342000E+00
    1779   2.5355197600E+01   6.8052418064E+01   -5.6964285968E+00
    1780   2.7697311200E+01   6.1985066700E+01   -5.2594851000E+00
    1781   2.8175148800E+01   6.3768655800E+01   -1.0772961600E+01
    1782   3.0964331300E+01   6.3169393800E+01   -1.5959943300E+01
    1783   3.2984286593E+01   8.3975049000E+00   -3.9288118401E+01
    1784   3.3090475800E+01   1.6335553400E+01   -3.8753054300E+01
    1785   3.0405187400E+01   1.2557385100E+01   -3.8898599600E+01
    1786   4.6976722300E+01   1.0296043600E+01   -3.1567645500E+01
    1787   4.1234180400E+01   1.2216602400E+01   -3.4669376600E+01
    1788   3.5381754500E+01   1.1343325500E+01   -3.6415275000E+01
    1789   3.7574843700E+01   5.5235900000E+00   -3.5092679800E+01
    1790   4.1547945200E+01   5.2661987000E+00   -3.1027031500E+01
    1791   5.0418654861E+01   4.7559127000E+00   -3.0331538797E+01
    1792   4.9892393042E+01   -1.5144565449E+00   -2.9445883856E+01
    1793   4.6480352300E+01   2.1696743000E+00   -2.9251576700E+01
    1794   4.4130340600E+01   1.6795743100E+01   -3.2932665300E+01
    1795   3.8892214200E+01   1.8362286600E+01   -3.4651060800E+01
    1796   3.7146632812E+01   4.6200511592E+01   -2.2304336702E+01
    1797   3.8923979993E+01   4.5763619405E+01   -1.8590853493E+01
    1798   3.6061279100E+01   4.8973031600E+01   -1.8318708500E+01
    1799   3.8378310600E+01   4.5925094200E+01   -1.0961658900E+01
    1800   4.3300609500E+01   4.0437397000E+01   -5.4078185000E+00
