# 1 (TIME - s);1 (Temperature - ¡ÆC);# 2 (TIME - s);2 (Temperature - ¡ÆC);# 3 (TIME - s);3 (Temperature - ¡ÆC);# 4 (TIME - s);4 (Temperature - ¡ÆC);# 5 (TIME - s);5 (Temperature - ¡ÆC);# 6 (TIME - s);6 (Temperature - ¡ÆC);# 7 (TIME - s);7 (Temperature - ¡ÆC);# 8 (TIME - s);8 (Temperature - ¡ÆC);# 9 (TIME - s);9 (Temperature - ¡ÆC);# 10 (TIME - s);10 (Temperature - ¡ÆC);# 11 (TIME - s);11 (Temperature - ¡ÆC);# 12 (TIME - s);12 (Temperature - ¡ÆC)
0.0081914736;1119.91093;0.0081914736;1120.64644;0.0081914736;1072.63495;0.0081914736;1069.88149;0.0081914736;1215.12978;0.0081914736;1191.86209;0.0081914736;1191.0244;0.0081914736;1156.50141;0.0081914736;960.609423;0.0081914736;968.054587;0.0081914736;915.092708;0.0081914736;927.617209
0.00853043647;1119.8906;0.00853043647;1120.62779;0.00853043647;1072.63476;0.00853043647;1069.89192;0.00853043647;1215.15952;0.00853043647;1191.89227;0.00853043647;1191.0661;0.00853043647;1156.57201;0.00853043647;960.580044;0.00853043647;968.021846;0.00853043647;915.068295;0.00853043647;927.593315
0.0088694025;1119.87151;0.0088694025;1120.60952;0.0088694025;1072.6335;0.0088694025;1069.90131;0.0088694025;1215.18682;0.0088694025;1191.91019;0.0088694025;1191.10368;0.0088694025;1156.62339;0.0088694025;960.551139;0.0088694025;967.989214;0.0088694025;915.047014;0.0088694025;927.571063
0.00915187684;1119.85509;0.00915187684;1120.59382;0.00915187684;1072.63289;0.00915187684;1069.90967;0.00915187684;1215.21459;0.00915187684;1191.92244;0.00915187684;1191.1317;0.00915187684;1156.65572;0.00915187684;960.528226;0.00915187684;967.962232;0.00915187684;915.032972;0.00915187684;927.555517
0.00949084954;1119.8351;0.00949084954;1120.57466;0.00949084954;1072.63157;0.00949084954;1069.91951;0.00949084954;1215.27123;0.00949084954;1191.94244;0.00949084954;1191.17333;0.00949084954;1156.68478;0.00949084954;960.503568;0.00949084954;967.930881;0.00949084954;915.018707;0.00949084954;927.541432
0.00977333011;1119.82004;0.00977333011;1120.56038;0.00977333011;1072.63273;0.00977333011;1069.92974;0.00977333011;1215.3331;0.00977333011;1191.96454;0.00977333011;1191.20203;0.00977333011;1156.70925;0.00977333011;960.484078;0.00977333011;967.905992;0.00977333011;915.00712;0.00977333011;927.53095
0.0101123113;1119.79743;0.0101123113;1120.53838;0.0101123113;1072.62984;0.0101123113;1069.93836;0.0101123113;1215.45712;0.0101123113;1191.99583;0.0101123113;1191.2465;0.0101123113;1156.7365;0.0101123113;960.461833;0.0101123113;967.877537;0.0101123113;914.993769;0.0101123113;927.518853
0.0103947998;1119.77722;0.0103947998;1120.51881;0.0103947998;1072.62858;0.0103947998;1069.94679;0.0103947998;1215.5446;0.0103947998;1192.01694;0.0103947998;1191.27294;0.0103947998;1156.75851;0.0103947998;960.445506;0.0103947998;967.855981;0.0103947998;914.9877;0.0103947998;927.513835
0.0107337912;1119.75111;0.0107337912;1120.49315;0.0107337912;1072.62488;0.0107337912;1069.9544;0.0107337912;1215.71336;0.0107337912;1192.04913;0.0107337912;1191.31656;0.0107337912;1156.785;0.0107337912;960.427466;0.0107337912;967.832955;0.0107337912;914.980208;0.0107337912;927.507828
0.0110727893;1119.72784;0.0110727893;1120.471;0.0110727893;1072.61785;0.0110727893;1069.95809;0.0110727893;1215.93159;0.0110727893;1192.15575;0.0110727893;1191.41693;0.0110727893;1156.8187;0.0110727893;960.403299;0.0110727893;967.804707;0.0110727893;914.959995;0.0110727893;927.489322
0.0113552941;1119.70894;0.0113552941;1120.45351;0.0113552941;1072.6131;0.0113552941;1069.96219;0.0113552941;1216.05598;0.0113552941;1192.2748;0.0113552941;1191.50915;0.0113552941;1156.86197;0.0113552941;960.380767;0.0113552941;967.77893;0.0113552941;914.942727;0.0113552941;927.473026
0.0116943141;1118.25357;0.0116943141;1121.36791;0.0116943141;1072.0117;0.0116943141;1071.70522;0.0116943141;1216.89351;0.0116943141;1192.29706;0.0116943141;1191.57859;0.0116943141;1158.70251;0.0116943141;960.120932;0.0116943141;968.956278;0.0116943141;915.557979;0.0116943141;926.548032
0.0119768486;1119.61877;0.0119768486;1119.08905;0.0119768486;1071.49343;0.0119768486;1072.03402;0.0119768486;1217.31476;0.0119768486;1192.3156;0.0119768486;1191.91264;0.0119768486;1155.09648;0.0119768486;960.713;0.0119768486;968.809006;0.0119768486;915.433696;0.0119768486;926.05763
0.0123159147;1120.9601;0.0123159147;1117.58695;0.0123159147;1072.89711;0.0123159147;1074.14203;0.0123159147;1217.689;0.0123159147;1192.10262;0.0123159147;1192.76337;0.0123159147;1157.1327;0.0123159147;961.205986;0.0123159147;966.778913;0.0123159147;913.548496;0.0123159147;927.34762
0.0125984957;1120.80443;0.0125984957;1118.24746;0.0125984957;1074.11155;0.0125984957;1072.33567;0.0125984957;1217.54327;0.0125984957;1192.54198;0.0125984957;1192.51388;0.0125984957;1156.81339;0.0125984957;961.741709;0.0125984957;968.077041;0.0125984957;913.238446;0.0125984957;928.574482
0.0129378465;1124.59566;0.0129378465;1122.54724;0.0129378465;1077.69034;0.0129378465;1082.69578;0.0129378465;1220.68584;0.0129378465;1194.20261;0.0129378465;1190.85536;0.0129378465;1159.88783;0.0129378465;968.473567;0.0129378465;978.960468;0.0129378465;911.001006;0.0129378465;932.499947
0.112937846;1118.75962;0.112937846;1116.26907;0.112937846;1066.02106;0.112937846;1068.85462;0.112937846;1214.73904;0.112937846;1188.61173;0.112937846;1188.82412;0.112937846;1154.30716;0.112937846;958.833129;0.112937846;965.16426;0.112937846;910.832922;0.112937846;925.892553
5.11293785;934.677897;5.11293785;943.877822;5.11293785;941.992339;5.11293785;930.655317;5.11293785;1016.68884;5.11293785;1012.71678;5.11293785;1015.81416;5.11293785;1012.28508;5.11293785;801.342698;5.11293785;826.141283;5.11293785;771.581123;5.11293785;802.877118
5.21293785;934.505026;5.21293785;943.507899;5.21293785;941.738127;5.21293785;930.777881;5.21293785;1015.06371;5.21293785;1011.34471;5.21293785;1014.3758;5.21293785;1011.09818;5.21293785;801.412629;5.21293785;825.541648;5.21293785;772.209565;5.21293785;802.555659
