# 1 (TIME - s);1 (Effective plastic strain rate - 1/s);# 2 (TIME - s);2 (Effective plastic strain rate - 1/s);# 3 (TIME - s);3 (Effective plastic strain rate - 1/s);# 4 (TIME - s);4 (Effective plastic strain rate - 1/s);# 5 (TIME - s);5 (Effective plastic strain rate - 1/s);# 6 (TIME - s);6 (Effective plastic strain rate - 1/s);# 7 (TIME - s);7 (Effective plastic strain rate - 1/s);# 8 (TIME - s);8 (Effective plastic strain rate - 1/s);# 9 (TIME - s);9 (Effective plastic strain rate - 1/s);# 10 (TIME - s);10 (Effective plastic strain rate - 1/s);# 11 (TIME - s);11 (Effective plastic strain rate - 1/s);# 12 (TIME - s);12 (Effective plastic strain rate - 1/s)
0.0088694025;0.987158723;0.0088694025;1.05555735;0.0088694025;1.55614777;0.0088694025;1.47071418;0.0088694025;4.2923552;0.0088694025;3.29808735;0.0088694025;4.84661385;0.0088694025;5.22605542;0.0088694025;0.104880384;0.0088694025;0.00177049043;0.0088694025;1.25913418;0.0088694025;0.666083995
0.00915187684;1.19212263;0.00915187684;1.30003173;0.00915187684;1.68412205;0.00915187684;1.58770595;0.00915187684;5.8997179;0.00915187684;4.20551204;0.00915187684;5.09473225;0.00915187684;4.75518027;0.00915187684;0.265354327;0.00915187684;0.0289136141;0.00915187684;1.50066469;0.00915187684;1.03510535
0.00949084954;1.31026776;0.00949084954;1.4425099;0.00949084954;1.80174407;0.00949084954;1.70595384;0.00949084954;7.62659172;0.00949084954;5.08696668;0.00949084954;5.11634671;0.00949084954;4.40166203;0.00949084954;0.441595543;0.00949084954;0.117143522;0.00949084954;1.59267254;0.00949084954;1.3499424
0.00977333011;0.80605436;0.00977333011;0.85124786;0.00977333011;1.29997514;0.00977333011;1.28248945;0.00977333011;15.6674434;0.00977333011;4.55726923;0.00977333011;6.09614775;0.00977333011;3.73442804;0.00977333011;0.555519445;0.00977333011;0.233295944;0.00977333011;2.11771536;0.00977333011;1.78409845
0.0101123113;0.811020787;0.0101123113;0.902070776;0.0101123113;1.58828007;0.0101123113;1.54783068;0.0101123113;8.93868943;0.0101123113;4.70212397;0.0101123113;4.59623477;0.0101123113;3.95102111;0.0101123113;0.675006817;0.0101123113;0.362779986;0.0101123113;2.58699173;0.0101123113;2.19069943
0.0103947998;0.510949729;0.0103947998;0.587311166;0.0103947998;1.26081916;0.0103947998;1.24573261;0.0103947998;16.8483363;0.0103947998;4.95176961;0.0103947998;5.54872965;0.0103947998;3.93253538;0.0103947998;0.83852918;0.0103947998;0.53667274;0.0103947998;3.07895765;0.0103947998;2.63546339
0.0107337912;0.746498351;0.0107337912;0.824944757;0.0107337912;1.15414161;0.0107337912;1.08101449;0.0107337912;21.6685889;0.0107337912;7.2133163;0.0107337912;6.71780285;0.0107337912;3.59168087;0.0107337912;0.526355709;0.0107337912;0.404383814;0.0107337912;0.968883057;0.0107337912;0.938674162
0.0110727893;0.811777219;0.0110727893;0.943728594;0.0110727893;1.12540154;0.0110727893;1.05473913;0.0110727893;17.8841508;0.0110727893;12.445317;0.0110727893;10.7225385;0.0110727893;4.84976349;0.0110727893;0.243569909;0.0110727893;0.118136634;0.0110727893;0.758175753;0.0110727893;0.677468697
0.0113552941;0.933058555;0.0113552941;1.08212161;0.0113552941;1.32975916;0.0113552941;1.25501296;0.0113552941;13.7873494;0.0113552941;16.6357556;0.0113552941;15.2590941;0.0113552941;7.52920817;0.0113552941;0.118465913;0.0113552941;0.0611785957;0.0113552941;0.743499203;0.0113552941;0.63219721
0.0116943141;2.21215408;0.0116943141;2.8134988;0.0116943141;1.51938357;0.0116943141;1.18897827;0.0116943141;5.72217031;0.0116943141;7.03532047;0.0116943141;8.63689989;0.0116943141;7.23941542;0.0116943141;0.0508694361;0.0116943141;0;0.0116943141;0.0853146153;0.0116943141;0.0697040626
0.0119768486;3.96881673;0.0119768486;4.26159879;0.0119768486;2.32741078;0.0119768486;1.78432333;0.0119768486;7.23635928;0.0119768486;7.63673079;0.0119768486;9.61019012;0.0119768486;9.90158838;0.0119768486;1.04170812;0.0119768486;0.210478122;0.0119768486;0;0.0119768486;0
0.0123159147;15.66792;0.0123159147;9.56101171;0.0123159147;23.5385238;0.0123159147;9.59428274;0.0123159147;66.6174992;0.0123159147;53.4221975;0.0123159147;26.7589885;0.0123159147;91.6262603;0.0123159147;4.47606192;0.0123159147;3.71200152;0.0123159147;0;0.0123159147;0.00544827099
0.0125984957;124.101409;0.0125984957;195.863467;0.0125984957;118.803879;0.0125984957;94.9017098;0.0125984957;42.2105099;0.0125984957;11.449484;0.0125984957;24.4698304;0.0125984957;10.2967629;0.0125984957;186.05749;0.0125984957;237.581957;0.0125984957;296.014706;0.0125984957;728.54803
0.0129378465;698.349769;0.0129378465;315.074358;0.0129378465;379.281178;0.0129378465;734.919617;0.0129378465;1176.63346;0.0129378465;961.276561;0.0129378465;406.607769;0.0129378465;791.824986;0.0129378465;188.661273;0.0129378465;23.6642428;0.0129378465;59.7202655;0.0129378465;19.3997776
0.112937846;0;0.112937846;0;0.112937846;0;0.112937846;0;0.112937846;0;0.112937846;0;0.112937846;0;0.112937846;0;0.112937846;0;0.112937846;0;0.112937846;0;0.112937846;0
5.11293785;0;5.11293785;0;5.11293785;0;5.11293785;0;5.11293785;2.17095644e-06;5.11293785;0;5.11293785;3.12736649e-06;5.11293785;0;5.11293785;0.000317481025;5.11293785;0.000108671366;5.11293785;0.000167964161;5.11293785;2.52822693e-05
5.21293785;0;5.21293785;0;5.21293785;0;5.21293785;0;5.21293785;0.000101326012;5.21293785;0;5.21293785;4.37341314e-05;5.21293785;0;5.21293785;0;5.21293785;0;5.21293785;0;5.21293785;0
