# 1 (TIME - s);1 (Effective plastic strain - -);# 2 (TIME - s);2 (Effective plastic strain - -);# 3 (TIME - s);3 (Effective plastic strain - -);# 4 (TIME - s);4 (Effective plastic strain - -);# 5 (TIME - s);5 (Effective plastic strain - -);# 6 (TIME - s);6 (Effective plastic strain - -);# 7 (TIME - s);7 (Effective plastic strain - -);# 8 (TIME - s);8 (Effective plastic strain - -);# 9 (TIME - s);9 (Effective plastic strain - -);# 10 (TIME - s);10 (Effective plastic strain - -);# 11 (TIME - s);11 (Effective plastic strain - -);# 12 (TIME - s);12 (Effective plastic strain - -)
0.00536682469;3.12074189;0.00536682469;3.41229582;0.00536682469;3.20559976;0.00536682469;3.11073438;0.00536682469;4.48553192;0.00536682469;3.15514821;0.00536682469;3.17197887;0.00536682469;2.5445459;0.00536682469;2.75138992;0.00536682469;1.84156265;0.00536682469;1.19065717;0.00536682469;1.06193426
0.00570578204;3.12074189;0.00570578204;3.41229575;0.00570578204;3.20559976;0.00570578204;3.11073438;0.00570578204;4.48553155;0.00570578204;3.15514821;0.00570578204;3.17197886;0.00570578204;2.5445459;0.00570578204;2.75138998;0.00570578204;1.84156265;0.00570578204;1.19065717;0.00570578204;1.06193426
0.0059882465;3.12074189;0.0059882465;3.41229575;0.0059882465;3.20559976;0.0059882465;3.11073438;0.0059882465;4.48553155;0.0059882465;3.15514821;0.0059882465;3.17197886;0.0059882465;2.5445459;0.0059882465;2.75138998;0.0059882465;1.84156265;0.0059882465;1.19065717;0.0059882465;1.06193426
0.00632720384;3.12074189;0.00632720384;3.41229575;0.00632720384;3.20559976;0.00632720384;3.11073438;0.00632720384;4.48553155;0.00632720384;3.15514821;0.00632720384;3.17197886;0.00632720384;2.5445459;0.00632720384;2.75138998;0.00632720384;1.84156265;0.00632720384;1.19065717;0.00632720384;1.06193426
0.00666616119;3.12074189;0.00666616119;3.41229575;0.00666616119;3.20559976;0.00666616119;3.11073438;0.00666616119;4.48553155;0.00666616119;3.15514821;0.00666616119;3.17197886;0.00666616119;2.5445459;0.00666616119;2.75138998;0.00666616119;1.84156265;0.00666616119;1.19065717;0.00666616119;1.06193426
0.00694862565;3.12074189;0.00694862565;3.41229575;0.00694862565;3.20559976;0.00694862565;3.11073447;0.00694862565;4.48553155;0.00694862565;3.15514821;0.00694862565;3.17197886;0.00694862565;2.5445459;0.00694862565;2.75138998;0.00694862565;1.84156271;0.00694862565;1.19065717;0.00694862565;1.06193426
0.007287583;3.12074198;0.007287583;3.41229691;0.007287583;3.20560276;0.007287583;3.11073827;0.007287583;4.48552135;0.007287583;3.15514525;0.007287583;3.17196953;0.007287583;2.54454551;0.007287583;2.75138982;0.007287583;1.84156274;0.007287583;1.19065727;0.007287583;1.06193424
0.00757004774;3.12074432;0.00757004774;3.41230877;0.00757004774;3.20567231;0.00757004774;3.1108002;0.00757004774;4.48656321;0.00757004774;3.15613561;0.00757004774;3.17403176;0.00757004774;2.54557828;0.00757004774;2.75138889;0.00757004774;1.84156295;0.00757004774;1.19065766;0.00757004774;1.06193434
0.00790900653;3.12079226;0.00790900653;3.41240985;0.00790900653;3.20600331;0.00790900653;3.11110449;0.00790900653;4.48876995;0.00790900653;3.15841534;0.00790900653;3.17769676;0.00790900653;2.54844418;0.00790900653;2.75138658;0.00790900653;1.84156299;0.00790900653;1.19065808;0.00790900653;1.0619345
0.0081914736;3.12097295;0.0081914736;3.41265141;0.0081914736;3.20644706;0.0081914736;3.11151727;0.0081914736;4.49008607;0.0081914736;3.15997581;0.0081914736;3.18007816;0.0081914736;2.55085446;0.0081914736;2.75138238;0.0081914736;1.84156269;0.0081914736;1.19066827;0.0081914736;1.06193469
